release_date,developer,price
2015-04-02,Brightrock Games,9.99
2015-04-02,GameUS Inc.,19.99
2015-04-02,Dovetail Games,19.99
2015-04-02,Astrosimer,1.99
2015-04-02,Slitherine Ltd.,19.99
2015-04-02,Cosmic Logic,1.99
2015-04-02,Giants Software,9.99
2015-04-02,Digital Confectioners,1.99
2015-04-02,Digital Confectioners,1.99
2015-04-02,Digital Confectioners,1.99
2015-04-02,Brightrock Games,29.99
2015-04-02,Digital Confectioners,5.99
2015-04-02,Michael Lückgen,1.99
2015-04-02,Pepi Games,4.99
2015-04-02,Vostok Games,Free to Play
2015-04-02,Daybreak Game Company,14.99
2015-04-02,Daybreak Game Company,14.99
2015-04-02,Vostok Games,9.99
2015-04-02,Vostok Games,19.99
2015-04-02,Rumpus,5.99
2015-04-02,Ars Creativa,0.99
2015-04-02,OBLONE Software,1.99
2015-04-09,Muteki,9.99
2008-04-07,House of Tales,14.99
2015-04-07,"SmiteWorks USA, LLC",5.99
2015-04-07,"SmiteWorks USA, LLC",4.99
2015-04-07,"SmiteWorks USA, LLC",5.99
2015-04-07,"SmiteWorks USA, LLC",5.99
2015-04-07,"SmiteWorks USA, LLC",5.99
2015-04-07,"SmiteWorks USA, LLC",2.99
2015-04-07,"SmiteWorks USA, LLC",2.99
2015-04-07,"SmiteWorks USA, LLC",29.99
2015-04-07,"SmiteWorks USA, LLC",14.99
2015-04-07,"SmiteWorks USA, LLC",4.99
2015-04-07,"SmiteWorks USA, LLC",4.99
2015-04-07,"SmiteWorks USA, LLC",4.99
2015-04-07,"SmiteWorks USA, LLC",4.99
2015-04-07,"SmiteWorks USA, LLC",4.99
2015-04-07,"SmiteWorks USA, LLC",4.99
2015-04-07,"SmiteWorks USA, LLC",4.99
2015-04-07,"SmiteWorks USA, LLC",4.99
2015-04-07,Ubisoft - San Francisco,2.99
2015-04-07,"SmiteWorks USA, LLC",4.99
2015-04-07,"SmiteWorks USA, LLC",4.99
2015-04-07,Ubisoft - San Francisco,2.99
2015-04-07,Ubisoft - San Francisco,2.99
2015-04-07,Ubisoft - San Francisco,9.99
2015-04-07,Ubisoft - San Francisco,2.99
2015-04-07,"Escape Hatch Entertainment,LLC",9.99
2015-04-07,"Circle Five Studios,Pub Games",4.99
2015-01-30,earrgames,2.99
2015-05-29,Aldorlea Games,2.99
2015-04-07,"Team NINJA,KOEI TECMO GAMES CO., LTD.",64.99
2015-04-07,"Team NINJA,KOEI TECMO GAMES CO., LTD.",74.99
2015-04-08,HE SAW,12.99
2014-11-29,Reiza Studios,
2015-04-08,Bohemia Interactive,11.99
2010-10-31,Aldorlea Games,3.99
2013-09-26,,Free
2015-04-09,Dovetail Games,4.99
2015-04-09,Windmill Games,4.99
2005-06-17,Dark Fox,4.99
2015-04-09,Dovetail Games,19.99
2015-04-09,ALICE IN DISSONANCE,
2015-03-25,Roope Tamminen,9.99
2015-04-09,SpookyFish Games,2.99
2016-03-24,Creative Assembly,Free to Play
2015-04-10,Alda Games,4.99
2015-04-10,Fictiorama Studios,19.99
2015-04-10,Fictiorama Studios,3.99
2015-04-10,Fungameco Ltd,5.99
2015-04-10,Choice of Games,4.99
2015-04-10,Choice of Games,
2015-04-10,Heart Shaped Games LLC,5.99
2015-04-10,Heart Shaped Games LLC,10.99
2011-02-14,Winter Wolves,9.99
2014-08-07,Sean Davy,2.99
2015-04-10,Pixel Theory Games,0.99
2015-04-10,Z4G0 and Ivan Venturi Productions,14.99
2015-04-10,muvee Technologies,79.99
2013-11-15,Alawar Dreamdale,0.99
Apr 2015,L&amp;K Logic Korea,
2015-04-16,Donut Games,4.99
Apr 2015,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",14.99
2015-04-16,Dovetail Games,19.99
2015-04-16,Steel Monkeys,1.99
2015-04-16,Idea Factory,9.99
2015-04-16,,1.99
2014-12-12,"343 Industries,Vanguard Games",2.99
2015-04-16,Owl Cave,5.99
2015-04-16,Owl Cave,7.99
2015-04-16,Owl Cave,
2015-04-16,Haemimont Games,3.99
2015-04-16,Ostrich Banditos,14.99
2015-04-16,Sinister Design,14.99
2015-04-16,Rosebud Games,4.99
2015-04-20,Casiualogic,2.99
2015-04-20,KillHouse Games,1.99
2015-04-20,QUICKTEQUILA,
2015-04-20,Insomniac Games,1.99
2015-04-20,"AndrewDrumov, Sanke Berdochan",4.99
2015-04-20,Stephane Bottin,Free to Play
2015-04-20,Jeff Trier,Free to Play
2015-04-20,"KOEI TECMO GAMES CO., LTD.",
2015-04-20,"KOEI TECMO GAMES CO., LTD.",11.99
2015-04-20,Tango Gameworks,4.99
2015-04-20,Dagestan Technology,6.99
2015-04-21,Burrito Studio,4.99
2015-04-21,Convoy Games,14.99
2015-04-21,Carenado,24.99
2014-05-13,Dustin Gunn,3.99
2015-04-21,"Flashback Games,The Lordz Games Studio",4.99
2015-04-21,Ubisoft - San Francisco,2.99
2013-08-17,White Cat,
2015-04-21,Nimble Tools,9.99
2015-04-21,TreeFortress Games,9.99
2015-04-21,Ubisoft - San Francisco,11.99
2015-04-21,Supreme Clans Entertainment,9.99
2015-04-21,Supreme Clans Entertainment,4.99
2015-04-21,TreeFortress Games,3.99
2013-11-15,Alawar Dreamdale,
2015-04-22,LinkSolutions Ltd.,14.99
2015-04-22,Skyhook Games,19.99
2015-04-22,Carlo D'Apostoli Projects,4.99
2015-04-25,Craze Creative Studios,
2015-04-22,Skyhook Games,4.99
2015-04-22,Press Play,9.99
2015-04-22,Press Play,3.99
2015-04-22,Press Play,3.99
2015-04-22,Polar Bunny Ltd,4.99
2015-04-22,"Michael J. Moffitt,Julian J. Hammerstein",4.99
2015-04-22,Magic Notion,9.99
2015-04-22,Bytebin,Free to Play
2015-04-22,Pyrodactyl,5.99
2015-04-22,,19.99
2015-04-22,NetherRealm Studios,3.99
2015-04-22,"Arvi Teikari,Roope Mäkinen",7.99
2015-04-22,"Arvi Teikari,Roope Mäkinen",
2015-04-22,Hammerspace Games,5.99
2015-04-19,Morphodox Studios,9.99
,,9.99
2013-08-17,White Cat,15.99
2015-03-06,GameUS Inc.,19.99
2015-04-23,Thomas Gwaltney,1.99
2015-04-23,Eat Create Sleep,10.99
2015-04-23,World-Loom,9.99
2015-04-23,Brace Yourself Games,14.99
2015-04-23,Brace Yourself Games,4.99
2004-02-05,G5 Software,3.99
2015-04-23,"Daniel Linssen,Detective,Ditto,Glitchnap,Shark Jump Studios",9.99
2015-04-27,Blaze Epic,0.99
2015-04-23,On The Level Game Studios,0.99
2015-04-23,EmpI Studios,4.99
,,29.99
2015-04-24,Pepi Games,1.99
2015-04-23,Jake Olson,0.99
2015-07-03,Blender Foundation,Free
2015-04-24,Realmforge Studios,19.99
2015-04-24,Thylacine Studios,9.99
2015-04-24,Rocket Bear Games,4.99
2015-04-24,DreamsSoftGames,3.99
2015-04-24,KADOKAWA,19.99
1995-01-01,Humongous Entertainment,6.99
1995-01-01,Humongous Entertainment,6.99
1995-01-01,Humongous Entertainment,6.99
2015-04-24,Games With Dragons In,4.99
2015-04-29,"Puuba,Christopher Hoag",4.99
2015-04-28,Virtual Racing Industries Ltd.,9.99
2015-04-28,Virtual Racing Industries Ltd.,9.99
2015-04-28,Virtual Racing Industries Ltd.,9.99
2015-04-28,Nihon Falcom,19.99
2015-04-28,Rob Howland,4.99
2015-04-28,Virtual Racing Industries Ltd.,9.99
2015-04-28,Ubisoft - San Francisco,2.99
2015-04-28,Ubisoft - San Francisco,2.99
2015-04-28,Tigerish Games,Free to Play
2015-04-28,Ubisoft - San Francisco,7.99
2015-04-28,Ubisoft - San Francisco,2.99
2015-04-28,"Cliffhanger Productions,Catalyst Games Lab",19.99
2015-04-26,David O'Boyle,2.99
2015-04-28,Dangerous Derk Interactive,12.99
2015-04-28,Dagestan Technology,3.99
2015-04-28,Overhype Studios,
2015-04-28,John Wizard,4.99
2015-04-29,Carenado,24.99
2013-05-31,Home Groan Games,5.99
2015-04-29,Vectorpark,4.99
,,14.99
2015-05-01,Team Isolation,1.99
2015-05-01,Only Human Studios,0.99
2015-05-01,Choice of Games,
2015-05-01,"CS Squared Games,Among Giants",4.99
2015-05-01,REEW GAMES,4.99
2015-05-01,Choice of Games,5.99
2015-05-01,Samurai Punk,9.99
2015-05-01,Erik Asmussen,4.99
2015-05-01,Bittersweet Entertainment,14.99
2015-05-01,Tyler Warren,7.99
2015-05-01,Sherman3D,9.99
2015-05-01,PVGames,29.99
2015-05-01,Joel Steudler,9.99
2015-05-05,Ubisoft - San Francisco,11.99
1994-10-28,JAM Productions,4.99
1993-12-03,JAM Productions,4.99
2015-05-05,"Bluehole, Inc.",Free to Play
2015-05-05,nornware AB,4.99
2015-05-05,"Bluehole Studio,En Masse Entertainment",9.99
2015-05-05,"Bluehole Studio,En Masse Entertainment",19.99
2015-05-05,"Bluehole Studio,En Masse Entertainment",14.99
2015-05-05,"Bluehole Studio,En Masse Entertainment",59.99
2015-05-05,Digital Entertainment,1.99
2015-05-05,Double Fine Productions,9.99
2014-05-26,devFluid,1.99
2015-05-06,Basecamp Games,4.99
2015-04-30,Basecamp Games,7.99
2015-05-06,David Szymanski,4.99
2015-05-06,Giorgi Abelashvili,
2015-06-01,CAVYHOUSE,9.99
2015-05-06,SCS Software,1.99
2015-09-24,"Jeroen van Oosten,Milan Kazarka",5.99
2014-03-07,Kinelco &amp; Lone Elk Creative,9.99
2015-05-08,Interplay Entertainment Corp.,9.99
2015-05-08,Interplay Entertainment Corp.,9.99
2011-01-06,ValuSoft,9.99
2015-05-08,Chimera Entertainment,4.99
2015-05-09,Lupiesoft,4.99
2015-05-08,Holgersson Entertainment,2.99
2015-05-08,Lupiesoft,1.99
2015-05-08,Estelion,4.99
2015-05-11,Celeris,24.99
2015-05-11,Seaven Studio,14.99
2015-05-11,RageSquid,14.99
2015-05-11,RageSquid,4.99
2015-05-11,ValuSoft,9.99
2015-05-08,,9.99
2015-05-12,TCHOW,7.99
2015-05-12,NetherRealm Studios,3.99
2015-05-12,,4.99
2015-05-12,Aerosoft GmbH,24.99
2015-05-12,Conflux Games,2.99
2015-05-12,Tasharen Entertainment Inc.,9.99
2015-05-12,Team Jolly Roger,
2015-05-12,Emad,Free
2015-05-12,Matt Thorson,9.99
2015-05-13,Aldorlea Games,4.99
2015-05-13,"ElevenSeventy, LLC",2.99
2015-05-13,Question,4.99
2015-05-14,Thomas Happ Games LLC,9.99
2015-05-13,Playsaurus,Free to Play
2015-05-13,"ElevenSeventy, LLC",
2015-05-13,"Blubox Soft,Fernando Paulo",3.99
2015-05-14,Stardock Entertainment,29.99
2015-06-25,YGGDRASIL STUDIO,14.99
2015-05-14,N3V Games,39.99
2015-05-15,Henchman &amp; Goon,0.99
2015-05-15,Absolutist Ltd.,6.99
2015-05-15,Serenity Forge,9.99
2015-05-14,Modesto A. Rabena,0.99
2015-05-15,Crashable Studios,4.99
2015-05-15,Omega Games,
2015-05-15,Anarchy Enterprises,1.99
2015-05-18,FiolaSoft Studio,0.99
2015-05-18,FiolaSoft Studio,4.99
2015-05-18,InterAction studios,2.99
2011-10-11,"Relic Entertainment,Europe at War Development Team",Free
2015-05-18,The Pompous Pixel,8.99
2015-05-19,Super Icon Ltd,0.99
2015-05-19,SOF Studios Ltd,9.99
2015-05-19,Ubisoft - San Francisco,2.99
2015-05-19,Ubisoft - San Francisco,2.99
2015-05-19,Ubisoft - San Francisco,2.99
2015-05-19,Ubisoft - San Francisco,11.99
2015-05-19,The Game Creators,29.99
2015-05-19,Ubisoft - San Francisco,2.99
2015-05-19,Ubisoft - San Francisco,2.99
2015-05-20,Minor Key Games,
2015-05-20,Minor Key Games,17.99
2015-05-20,Minor Key Games,6.99
2015-05-20,Heliocentric Studios,4.99
,,17.99
2015-05-20,tjern,2.99
2015-05-21,NeoNight,2.99
2015-05-21,Big Green Pillow,9.99
2015-05-21,Brandon Brizzi,1.99
2015-05-21,Emberheart Games,11.99
2015-05-21,Rage Monster Games,4.99
2015-05-21,Dovetail Games,39.99
,,34.99
2015-05-21,GhostShark,4.99
2015-05-21,Dez,14.99
2015-05-22,Artur Mandas,5.99
2015-05-22,Hyper Hippo Games,
,,1.99
2015-05-22,S2 Games,Free to Play
2015-05-22,NeocoreGames,14.99
2015-05-22,Andrettin,Free to Play
2015-05-25,Robot Gentleman,9.99
2015-05-25,OM ENTERTAINMENT,6.99
2015-05-25,Tango Gameworks,2.99
2015-05-22,Forever Entertainment S. A.,4.99
2014-09-10,For All To Play,2.99
2015-05-25,John Wizard,4.99
2015-05-25,Orangepixel,4.99
2015-05-26,No Pest Productions,4.99
2015-05-25,Global Empire Soft,4.99
2015-05-26,Ubisoft - San Francisco,2.99
2015-05-26,Ubisoft - San Francisco,7.99
2015-05-26,Frogmind,9.99
2015-05-26,ACQUIRE Corp.,29.99
2015-05-26,Frogmind,2.99
2015-05-26,"YOTSUBANE,Adventure Planning Service",7.99
2015-05-26,"YOTSUBANE,Adventure Planning Service",0.99
2015-05-26,"YOTSUBANE,Adventure Planning Service",5.99
2015-05-27,Night Node,1.99
,,9.99
2015-05-27,KaleidoGames,6.99
2015-05-27,HandMade Game,2.99
2015-05-27,Digital Dreams Entertainment LLC,14.99
2015-05-27,Tymon Zgainski,4.99
2012-11-27,roseVeRte,5.99
2013-11-27,"Gregory Avery-Weir,Melissa Avery-Weir",9.99
2015-05-28,"AMA,Mando Productions",4.99
2015-05-28,Alan Zucconi,9.99
2015-05-28,Lucky Pause,14.99
2015-05-28,Laughing Jackal LTD,11.99
2015-05-28,BonusXP,
2015-05-28,Bad Seed,6.99
2015-05-28,Rival Games Ltd,3.99
2015-05-28,Haemimont Games,7.99
2015-05-29,"Diggidy.net, LLC",0.99
2015-05-29,,9.99
2015-05-28,Hello There AB,2.99
2013-09-04,"Sports Mogul, Inc.",4.99
2015-05-28,Web Interactive Solutions,11.99
2015-05-27,Zoo Corporation,
2015-05-28,"KOEI TECMO GAMES CO., LTD.",59.99
2015-05-26,GameUS Inc.,19.99
2015-05-26,GameUS Inc.,19.99
2015-05-28,John Wizard,4.99
2015-05-29,Giorgi Abelashvili,1.99
2015-06-01,Corrosive Studios LLC,9.99
2015-05-29,Aldorlea Games,3.99
2015-05-29,BeamNG,24.99
2015-05-29,House On Fire,9.99
2015-05-29,BBQ Games,1.99
2015-05-29,Lionheart Creations,24.99
2015-06-01,Corrosive Studios LLC,1.99
2015-06-01,Corrosive Studios LLC,2.99
2015-06-01,Mark Chong,9.99
2015-06-01,Coty Getzelman,1.99
2015-06-01,Double Fine Productions,19.99
2015-06-01,Destructive Creations,8.99
2015-06-01,Creoteam,16.99
2015-06-01,Digital Dawn Studios,9.99
2015-05-23,EZDesigner,2.99
2015-06-01,Digital Leisure Inc.,Free to Play
2015-05-19,bluffman,6.99
2015-06-02,777 Studios,24.99
2015-06-02,DiggerWorld Ltd.,9.99
2015-06-02,SIM720,16.99
2015-06-02,Stamina-Games,9.99
2015-06-02,Steel Monkeys,4.99
2015-06-03,Fragment Production Ltd.,19.99
2015-06-03,Guerrilla Bandit,2.99
2015-06-03,Mystik'Art,4.99
2015-06-03,dustinaux,4.99
2015-06-03,Lionheart Creations,19.99
2015-06-03,Radiant Entertainment,24.99
2015-06-04,Creoteam,
2015-06-04,Bluestrike,4.99
2015-06-04,Super Icon Ltd,6.99
2015-06-04,Russpuppy,2.99
2015-06-04,Polar Bunny Ltd,
2014-08-01,VoxelStorm,9.99
2015-06-04,EightyEightGames,4.99
2015-06-04,Landon Podbielski,12.99
2015-06-04,"Sledgehammer Games,Raven Software",1.99
2015-06-04,"Sledgehammer Games,Raven Software",1.99
2015-06-04,Shark Punch,19.99
2015-06-04,"Sledgehammer Games,Raven Software",1.99
2015-06-04,"Sledgehammer Games,Raven Software",1.99
2015-06-04,BrashMonkey,12.99
2015-06-04,Spectral Games,3.99
2015-06-05,Access Games,14.99
2015-06-05,Access Games,2.99
2015-06-05,Access Games,3.99
2015-06-05,Access Games,4.99
2015-06-05,Access Games,4.99
2015-06-04,Anarchy Enterprises,0.99
2015-06-05,Tall Studios,39.99
2015-06-07,,3.99
2015-06-08,Makivision Games,4.99
2015-06-08,Makivision Games,
2015-06-05,"Vertex Games, S.C.",1.99
2015-06-08,"Soloweb Studios,Ravens Eye Studio",4.99
2015-06-08,InterAction studios,4.99
2015-06-08,Silver Goblet Games,4.99
2015-06-09,Paradox Development Studio,5.99
2015-06-09,Paradox Development Studio,14.99
2015-06-08,"Elias Viglione,Jussi Kukkonen",4.99
2015-06-09,Paradox Development Studio,1.99
2015-06-09,NetherRealm Studios,3.99
2015-06-09,NetherRealm Studios,4.99
2015-06-09,Smarter Games,1.99
2015-06-09,Ubisoft - San Francisco,2.99
2015-06-09,Crispon Games,19.99
2015-06-09,Ubisoft - San Francisco,2.99
2015-06-09,Ubisoft - San Francisco,2.99
2015-06-09,Ubisoft - San Francisco,2.99
2015-06-09,Rockstar North,99.99
2015-06-09,Ubisoft - San Francisco,11.99
2015-06-10,Stolen Couch Games,Install Theme
2015-06-09,Ubisoft - San Francisco,2.99
2015-06-11,Pure FPS,19.99
2015-06-11,"TREND, Soft Pro",13.99
2015-06-11,"TREND, Soft Pro",13.99
2015-06-11,"TREND, Soft Pro",13.99
2015-06-11,"Bluehole Inc.,En Masse Entertainment",29.99
2015-06-11,Beast Games,9.99
2015-06-11,Petroglyph,7.99
2016-09-23,Innomen Productions,
2012-04-06,Heartbit Interactive,2.99
2015-06-11,stillalive studios,1.99
2015-06-11,stillalive studios,1.99
2015-06-11,"TT Games Ltd,Feral Interactive (Mac)",19.99
2015-06-11,stillalive studios,1.99
2015-06-12,Lord Kres,
2015-06-12,Orange_Juice,1.99
2015-06-23,"CAPCOM Co., Ltd.",2.99
2015-07-21,Dolores Entertainment,2.99
2015-06-22,DYA Games,0.99
2015-06-22,Kobra Studio,14.99
2015-06-22,Mr. Blue,Free to Play
2015-06-22,rokaplay,6.99
2015-06-22,DYA Games,0.89
2015-06-22,Doomster Entertainment,0.99
2015-06-22,Marcelo Barbosa,0.99
2015-06-17,Cliffhanger Productions,19.99
2015-06-22,Zoo Corporation,14.99
2015-06-22,Dubrovkin Sergei,1.99
2015-06-23,SIM720,16.99
2015-06-23,Alabeo,19.99
2015-06-23,Alabeo,19.99
2015-06-23,Dovetail Games,19.99
2015-06-23,Dovetail Games,4.99
2015-06-24,KarjaSoft,
2015-06-24,KarjaSoft,2.99
2013-06-16,Zeiva Inc,24.99
2015-06-24,From Soy Sauce LLC,
2015-06-24,From Soy Sauce LLC,5.99
2015-06-24,The Quadsphere,4.99
2015-06-25,Upper Class Walrus,7.99
2015-06-22,GameUS Inc.,19.99
2015-06-22,GameUS Inc.,19.99
2015-06-25,Dovetail Games,39.99
2015-06-25,Guard Crush Games,9.99
2015-06-25,Shadow Masters,4.99
2015-06-25,Dovetail Games,19.99
2015-06-25,Shadow Masters,4.99
2015-06-25,Kieffer Bros.,7.99
2015-06-25,Capribyte Studios,7.99
2015-06-26,"Fancy Bytes, Reactor",3.99
2015-06-26,"Fancy Bytes, Reactor",3.99
2015-06-26,Diminished Studios,Free to Play
2015-06-26,ShaunTWilliams,16.99
,,Free
2011-11-15,Leslaw Sliwko,19.99
2015-06-26,FIVE-BN GAMES,6.99
2015-03-02,Dingo Dango,2.99
2015-06-26,Devdan Games,3.99
2015-06-29,Fair Play Labs,
2015-06-26,Digital Soul Games,9.99
2015-06-26,"高考恋爱委员会,Days",2.99
2015-06-26,Warfare Studios,9.99
2015-06-29,Creobit,2.99
2015-06-29,Top3Line,7.99
2015-06-30,PlazSoft,4.99
2015-06-30,Zhoori Maang Entertainment,8.99
2015-07-01,Serious Games Interactive,2.99
2015-07-01,Playito.com,4.99
2015-06-30,Jan Zizka,8.99
2015-07-01,"Chasing Carrots,Schnack Music Manufacture",
2015-07-01,KOG,39.99
2013-01-31,Blue Byte,Free to Play
2015-07-01,Dovetail Games,4.99
2015-07-01,Great War Team,5.99
2013-05-14,roseVeRte,8.99
2015-07-01,Loomus Games,4.99
2008-12-16,Frogames,4.99
2015-07-01,"Bit Planet Games, LLC",9.99
2015-07-01,RiftyGames,9.99
2015-07-03,Nerial,3.99
2015-07-03,Access Games,0.99
2015-07-03,GamePhase,2.99
2015-07-03,Red Dot Games,3.99
2015-04-01,"Alawar Stargaze,Alawar Entertainment",6.99
2015-07-03,"SmiteWorks USA, LLC",0.99
2015-07-02,Polar Bunny Ltd,Third-party
2015-07-03,Tim Sullivan,14.99
2015-07-06,Ignishot,29.99
2015-07-06,Joshua Missile,14.99
2015-07-06,,9.99
2015-07-06,Prologue Games,4.99
,,19.99
2015-07-06,Ankama Studio,19.99
2015-07-06,Peter Gutenko,4.99
2014-03-11,,1.99
2015-07-06,Ernő Király,9.99
2015-07-06,"SmiteWorks USA, LLC",2.99
2015-07-06,Cliffhanger Productions,19.99
2015-01-25,"Maciej Targoni,Wojciech Wasiak",0.99
2015-05-20,"Maciej Targoni,Wojciech Wasiak",0.99
2015-07-07,"Psyonix, Inc.",19.99
2015-07-07,Black Shell Games,1.99
2015-07-07,Undead Yeti Software,1.99
2015-07-07,Alister Software,0.99
2015-07-07,John Wizard,4.99
2015-07-07,Holotech Studios,14.99
2015-07-17,Gamestarters,4.99
2015-07-07,Yatagarasu Dev Team,14.99
2015-07-07,Random Seed Games,7.99
2015-07-07,Random Seed Games,3.99
2015-07-04,Cleverweek,3.99
2015-07-07,Ubisoft - San Francisco,2.99
2015-07-07,Lab Zero Games,1.99
2014-03-24,,5.99
2015-07-09,Scarab Entertainment,19.99
2015-07-09,Tap To Win,4.99
2016-07-14,Codex Worlds,
2015-07-09,Aldorlea Games,5.99
2015-07-09,yayapipi,1.99
2015-07-09,"Codemasters,Feral Interactive (Linux)",39.99
2015-07-09,Not Games LLP,0.99
2015-07-09,momoStorm Entertainment,Free to Play
2013-04-04,,1.99
2015-07-10,Play sp. z o. o.,1.99
2015-07-10,Absolutist Ltd.,7.99
2015-07-10,InImages,2.99
2015-07-10,"Gateway Interactive,Chipzel",
2015-07-10,Gateway Interactive,7.49
2015-07-10,Virtual Racing Industries Ltd.,9.99
2015-07-14,First Class Simulations,11.99
2015-07-10,Juri Schupilo,4.99
2015-07-10,Aldorlea Games,4.99
2016-07-19,"Ste Curran,Twistplay",9.99
2015-07-10,Biart Company LLC,2.99
2015-07-13,i273 LLC,4.99
2015-07-13,Indomitus Games,5.99
2014-12-12,Wickworks,9.99
2015-07-13,Pixel Ferrets,14.99
2015-07-13,Pixel Ferrets,
2015-07-13,Daylight Studios,14.99
2015-07-13,Psikyo,4.99
2015-07-13,Endless Loop Studios,
2015-07-13,Arc-gen,5.99
2015-07-13,Pixel Ferrets,4.99
2015-07-13,Blue Manchu,Free
2015-07-16,Studio Bean,9.99
2015-07-16,Team17 Digital Ltd,14.99
2015-07-16,Soccer Manager Ltd,Free to Play
2015-07-16,Decane,4.99
2015-07-16,stage-nana,4.99
2013-03-01,,1.99
2015-07-16,voodoosoft,1.99
2015-04-11,"Toyman Interactive,Alawar Entertainment",7.99
2015-07-16,Oryon Entertainment,3.99
2015-07-16,Four Lights,9.99
2015-07-17,tinyBuild,14.99
2015-07-17,MAGICS,Free To Play
2015-07-16,APAS games,4.99
2015-07-17,Proper Games,4.99
2015-06-26,Scary Bee LLC,Free
2015-07-17,Alien Sync Interactive,4.99
2015-07-17,EyeSpyda Games,0.99
2015-07-17,Coldrice Games LLC,9.99
2015-07-16,Wild Wolf Std,6.99
2015-07-17,Forge Reply srl,8.99
2015-07-17,Access Games,1.99
2015-07-17,Access Games,0.99
2015-07-17,Access Games,0.99
2015-07-17,Access Games,0.99
2015-07-17,Access Games,1.99
2015-07-17,Homph,4.99
2015-07-17,The Loneliest Pixel,2.99
2015-07-17,Chipzel,7.99
2014-07-29,,1.99
2013-07-01,,5.99
2015-07-17,"Jarbit,Castle art by Yuriy Gusev",Free
2015-07-17,Team Junkfish,4.99
2015-07-17,Duckbridge,
2015-07-17,Aldorlea Games,3.99
2015-07-17,Psikyo,4.99
2015-07-20,Raven Travel Studios,
2015-07-20,Raven Travel Studios,6.99
2016-12-24,HJO Creations,3.99
2015-07-20,Black Lime Studio,0.99
2015-07-20,Zachtronics,6.99
2013-11-15,,1.99
2015-07-02,MobileBits,Free
2014-03-10,,5.99
2015-07-20,Igry.ru,6.99
2015-07-20,Wacha,Free
2015-07-20,Day Dreamer Games,0.5
2014-07-13,,1.99
2014-02-19,WTFOMGames,4.99
2015-07-20,"CorypheeSoft,DigitalEZ",Play Now
2015-07-20,EmpI Studios,2.99
2015-07-20,"Mighty Rabbit Studios,Gun Media",9.99
2015-07-21,Nexon,18.99
2015-07-21,Nexon,24.99
2015-07-22,Great War Team,8.99
2015-07-21,Slightly Mad Studios,1.99
2015-07-21,NetherRealm Studios,3.99
2015-07-21,Game Freak,14.99
2015-07-21,NetherRealm Studios,4.99
2015-07-21,"Psyche Studios,Random Encounter",1.99
2015-07-21,Spicy Tails,12.99
2015-07-21,Ubisoft - San Francisco,2.99
2015-07-21,Ubisoft - San Francisco,2.99
2015-07-21,Ubisoft - San Francisco,2.99
2015-07-21,Ubisoft - San Francisco,2.99
2015-07-21,Ubisoft - San Francisco,2.99
2015-07-21,Ubisoft - San Francisco,11.99
2015-07-21,"KOEI TECMO GAMES CO., LTD.",2.99
2015-07-21,"KOEI TECMO GAMES CO., LTD.",2.99
2015-07-21,"KOEI TECMO GAMES CO., LTD.",2.99
2015-07-23,Acquire Corp.,3.99
2015-07-23,Acquire Corp.,3.99
2015-07-23,Acquire Corp.,3.99
2015-07-23,Acquire Corp.,4.99
2015-07-23,Acquire Corp.,4.99
2015-07-23,Scott Cawthon,7.99
2015-07-23,Electric Rune,14.99
2013-06-01,yfyx games,0.99
2015-07-23,Achebit,9.99
2015-07-24,Alexander Byzov,7.99
2015-07-24,CPsoft,4.99
2015-07-24,Flying Cafe for Semianimals,12.99
2015-07-24,Haemimont Games,19.99
2015-07-24,Flying Cafe for Semianimals,4.99
2015-07-24,Maxim Moore,
,,7.99
2015-07-24,Dark Gaia Studios,6.99
2015-07-24,Dark Gaia Studios,
2014-04-03,"Sports Mogul, Inc.",4.99
2015-07-24,"Mido Basim,Danny Wei",9.99
2015-07-24,Overcloud9,7.99
2015-07-24,Nonlinear,9.99
2015-07-27,a REGULAR GAMER,4.99
2015-07-08,Milky Tea Studios,
2015-07-27,4-Panel Footprint,14.99
2015-07-04,Eutechnyx,
2015-07-14,Eutechnyx,
2015-07-14,Eutechnyx,
2014-11-25,,1.99
2013-03-10,,1.99
2015-07-27,Andrew Hulshult,6.99
2015-07-27,Flippfly LLC,1.99
2015-07-29,Frontwing,19.99
2015-07-30,Cemil Tasdemir,0.99
2015-01-15,,1.99
2015-07-31,Benjamin Lapid,9.99
2015-07-30,RunServer,1.99
2015-07-31,Batholith Entertainment,7.99
2015-07-30,RosePortal Games,4.99
2015-07-30,FreakZone Games,2.99
2015-07-30,Warfare Studios,9.99
2015-07-30,Pocket Queries,9.99
2015-07-31,Luis Ruiz,4.99
2015-07-30,REEW GAMES,13.99
2015-07-31,"Polyquest Games,ZXDigital Ltd",3.99
2015-07-31,Gneu LLC,14.99
2015-07-31,Philippe Forgeur,4.99
2015-07-31,Decent Machine,3.99
2013-11-10,Forge Reply,9.99
2015-08-03,khos85,1.99
2015-07-31,Storm in a Teacup,4.99
2015-08-03,Stolen Couch Games,Free
2014-03-14,,1.99
2015-08-03,Tin Man Games,4.99
2015-07-31,Devin Sherry,0.99
2015-12-16,,1.99
2015-08-03,Kumobius,4.99
2015-08-03,Sirlin Games,14.99
2015-08-03,Uppercut Games Pty Ltd,19.99
2015-08-03,Uppercut Games Pty Ltd,9.99
2015-08-04,"wefiends, Inc.",9.99
